number_of_match,team_home,team_away,score_home,score_away,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,fouls_home,fouls_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,goal_kicks_home,goal_kicks_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,last_season_position_home,last_season_position_away
135,Everton,Arsenal,2.0,1.0,42.0,58.0,9.0,13.0,2.0,2.0,4.0,7.0,3.0,4.0,4.0,3.0,9.0,9.0,0.0,0.0,9.0,9.0,13.0,8.0,3.0,9.0,6.0,4.0,401.0,551.0,324.0,489.0,28.0,30.0,5.0,5.0,7.0,9.0,42.0,37.0,14.0,10.0,12.0,9.0,11.0,8.0,12,8
88,Leeds United,Arsenal,0.0,0.0,66.0,34.0,25.0,9.0,4.0,2.0,16.0,6.0,5.0,1.0,5.0,3.0,9.0,8.0,0.0,1.0,8.0,9.0,5.0,17.0,15.0,5.0,10.0,4.0,610.0,310.0,519.0,220.0,16.0,14.0,7.0,3.0,4.0,14.0,41.0,44.0,11.0,11.0,18.0,10.0,9.0,11.0,18,8
68,Manchester United,Arsenal,0.0,1.0,53.0,47.0,8.0,7.0,2.0,2.0,3.0,5.0,3.0,0.0,6.0,3.0,12.0,12.0,0.0,0.0,12.0,11.0,9.0,4.0,4.0,3.0,4.0,4.0,556.0,495.0,471.0,422.0,17.0,14.0,4.0,2.0,6.0,5.0,46.0,45.0,18.0,9.0,10.0,20.0,7.0,11.0,3,8
201,Southampton,Arsenal,1.0,3.0,58.0,42.0,13.0,9.0,5.0,5.0,5.0,4.0,3.0,0.0,4.0,5.0,11.0,6.0,0.0,0.0,6.0,11.0,5.0,9.0,8.0,7.0,5.0,2.0,493.0,353.0,421.0,273.0,15.0,31.0,8.0,3.0,14.0,12.0,47.0,49.0,10.0,11.0,17.0,15.0,12.0,7.0,11,8
346,Newcastle United,Arsenal,0.0,2.0,39.0,61.0,5.0,19.0,1.0,5.0,3.0,10.0,1.0,4.0,3.0,7.0,10.0,9.0,1.0,0.0,9.0,10.0,9.0,4.0,3.0,12.0,2.0,7.0,396.0,641.0,345.0,582.0,28.0,32.0,3.0,10.0,14.0,8.0,46.0,34.0,12.0,11.0,12.0,6.0,7.0,9.0,13,8
363,Chelsea,Arsenal,0.0,1.0,68.0,32.0,19.0,5.0,5.0,2.0,9.0,1.0,5.0,2.0,9.0,1.0,7.0,6.0,0.0,0.0,5.0,5.0,4.0,12.0,14.0,3.0,5.0,2.0,765.0,369.0,686.0,293.0,18.0,14.0,10.0,3.0,12.0,4.0,38.0,31.0,17.0,8.0,4.0,14.0,6.0,8.0,4,8
264,Leicester City,Arsenal,1.0,3.0,44.0,56.0,8.0,12.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,7.0,15.0,3.0,0.0,0.0,3.0,14.0,5.0,3.0,6.0,6.0,2.0,6.0,408.0,507.0,316.0,419.0,22.0,27.0,1.0,9.0,6.0,9.0,44.0,45.0,14.0,13.0,21.0,9.0,12.0,9.0,5,8
229,Aston Villa,Arsenal,1.0,0.0,34.0,66.0,12.0,14.0,8.0,3.0,3.0,6.0,1.0,5.0,3.0,7.0,12.0,12.0,0.0,0.0,11.0,11.0,12.0,3.0,9.0,10.0,3.0,4.0,316.0,597.0,232.0,522.0,32.0,17.0,2.0,8.0,10.0,5.0,63.0,47.0,24.0,19.0,18.0,12.0,10.0,6.0,17,8
220,Wolverhampton,Arsenal,2.0,1.0,55.0,45.0,11.0,9.0,7.0,3.0,4.0,1.0,0.0,5.0,9.0,6.0,11.0,8.0,0.0,2.0,7.0,10.0,4.0,5.0,7.0,6.0,4.0,3.0,576.0,488.0,524.0,435.0,30.0,10.0,4.0,2.0,18.0,8.0,46.0,43.0,11.0,12.0,10.0,13.0,6.0,4.0,7,8
30,Fulham,Aston Villa,0.0,3.0,65.0,35.0,16.0,12.0,3.0,5.0,9.0,4.0,4.0,3.0,5.0,3.0,18.0,14.0,0.0,0.0,14.0,18.0,7.0,11.0,11.0,10.0,5.0,2.0,538.0,302.0,461.0,213.0,36.0,29.0,11.0,5.0,22.0,10.0,64.0,71.0,19.0,20.0,9.0,23.0,7.0,11.0,18,17
368,Crystal Palace,Aston Villa,3.0,2.0,46.0,54.0,23.0,19.0,8.0,5.0,3.0,8.0,12.0,6.0,7.0,7.0,23.0,13.0,0.0,0.0,13.0,23.0,8.0,3.0,15.0,12.0,8.0,7.0,325.0,393.0,239.0,307.0,12.0,49.0,6.0,7.0,11.0,1.0,58.0,55.0,19.0,18.0,15.0,13.0,6.0,8.0,14,17
312,Liverpool,Aston Villa,2.0,1.0,66.0,34.0,23.0,9.0,10.0,5.0,6.0,4.0,7.0,0.0,7.0,0.0,16.0,11.0,0.0,0.0,11.0,15.0,11.0,11.0,17.0,6.0,6.0,3.0,577.0,296.0,480.0,202.0,19.0,35.0,3.0,3.0,11.0,8.0,57.0,60.0,21.0,19.0,14.0,18.0,7.0,17.0,1,17
101,West Ham,Aston Villa,2.0,1.0,34.0,66.0,6.0,16.0,2.0,6.0,1.0,7.0,3.0,3.0,3.0,7.0,20.0,7.0,0.0,0.0,6.0,18.0,11.0,8.0,4.0,10.0,2.0,6.0,272.0,518.0,173.0,432.0,26.0,24.0,2.0,5.0,5.0,14.0,49.0,68.0,30.0,30.0,9.0,6.0,8.0,6.0,16,17
140,West Bromwich Albion,Aston Villa,0.0,3.0,33.0,67.0,1.0,19.0,1.0,10.0,0.0,6.0,0.0,3.0,1.0,7.0,14.0,8.0,1.0,0.0,7.0,14.0,12.0,0.0,0.0,11.0,1.0,8.0,282.0,576.0,190.0,493.0,18.0,26.0,1.0,6.0,9.0,14.0,50.0,68.0,19.0,29.0,15.0,11.0,16.0,10.0,18,17
378,Tottenham,Aston Villa,1.0,2.0,61.0,39.0,10.0,20.0,4.0,4.0,2.0,9.0,4.0,7.0,4.0,5.0,14.0,13.0,0.0,0.0,13.0,14.0,9.0,4.0,7.0,15.0,3.0,5.0,569.0,367.0,477.0,295.0,17.0,22.0,4.0,4.0,11.0,17.0,57.0,61.0,12.0,13.0,21.0,18.0,8.0,11.0,6,17
291,Sheffield United,Aston Villa,1.0,0.0,28.0,72.0,9.0,16.0,2.0,4.0,5.0,5.0,2.0,7.0,2.0,7.0,13.0,6.0,1.0,0.0,6.0,13.0,13.0,1.0,6.0,12.0,3.0,4.0,263.0,641.0,183.0,541.0,28.0,48.0,0.0,7.0,2.0,15.0,36.0,56.0,15.0,19.0,13.0,9.0,13.0,9.0,18,17
242,Brighton,Aston Villa,0.0,0.0,58.0,42.0,26.0,4.0,9.0,1.0,7.0,1.0,10.0,2.0,9.0,2.0,16.0,12.0,0.0,0.0,12.0,14.0,3.0,6.0,15.0,1.0,11.0,3.0,509.0,372.0,415.0,281.0,26.0,24.0,8.0,0.0,5.0,6.0,47.0,40.0,19.0,10.0,11.0,10.0,8.0,12.0,15,17
203,Burnley,Aston Villa,3.0,2.0,38.0,62.0,10.0,18.0,5.0,10.0,3.0,5.0,2.0,3.0,2.0,4.0,16.0,7.0,0.0,0.0,6.0,16.0,7.0,7.0,5.0,14.0,5.0,4.0,290.0,475.0,170.0,369.0,24.0,34.0,5.0,5.0,4.0,6.0,57.0,51.0,25.0,23.0,22.0,6.0,10.0,7.0,10,17
11,Manchester City,Aston Villa,2.0,0.0,69.0,31.0,28.0,11.0,9.0,4.0,7.0,4.0,12.0,3.0,16.0,2.0,10.0,9.0,0.0,0.0,8.0,10.0,1.0,8.0,20.0,6.0,8.0,5.0,628.0,285.0,553.0,207.0,26.0,24.0,5.0,1.0,12.0,10.0,55.0,45.0,21.0,11.0,14.0,14.0,11.0,15.0,2,17
345,Everton,Aston Villa,1.0,2.0,48.0,52.0,16.0,13.0,3.0,5.0,7.0,5.0,6.0,3.0,3.0,6.0,10.0,13.0,0.0,0.0,11.0,10.0,5.0,13.0,8.0,7.0,8.0,6.0,421.0,469.0,345.0,384.0,29.0,32.0,3.0,4.0,6.0,8.0,48.0,49.0,11.0,16.0,20.0,15.0,7.0,7.0,12,17
261,Leeds United,Aston Villa,0.0,1.0,69.0,31.0,13.0,9.0,3.0,4.0,5.0,3.0,5.0,2.0,7.0,5.0,14.0,14.0,0.0,0.0,13.0,13.0,5.0,13.0,7.0,6.0,6.0,3.0,517.0,227.0,413.0,137.0,34.0,24.0,3.0,5.0,8.0,10.0,55.0,60.0,16.0,21.0,18.0,16.0,7.0,13.0,18,17
166,Manchester United,Aston Villa,2.0,1.0,48.0,52.0,19.0,15.0,9.0,5.0,5.0,6.0,5.0,4.0,5.0,10.0,22.0,10.0,0.0,0.0,9.0,22.0,8.0,10.0,12.0,12.0,7.0,3.0,407.0,417.0,337.0,332.0,27.0,26.0,3.0,8.0,9.0,10.0,51.0,65.0,22.0,15.0,11.0,18.0,15.0,11.0,3,17
81,Arsenal,Aston Villa,0.0,3.0,59.0,41.0,13.0,15.0,2.0,6.0,8.0,0.0,3.0,9.0,3.0,8.0,11.0,13.0,0.0,0.0,13.0,11.0,1.0,10.0,8.0,14.0,5.0,1.0,538.0,378.0,458.0,293.0,18.0,31.0,3.0,5.0,8.0,12.0,39.0,52.0,11.0,15.0,7.0,14.0,8.0,8.0,8,17
214,Southampton,Aston Villa,0.0,1.0,60.0,40.0,20.0,8.0,5.0,4.0,6.0,3.0,9.0,1.0,7.0,1.0,12.0,11.0,0.0,0.0,10.0,11.0,5.0,9.0,11.0,7.0,9.0,1.0,487.0,336.0,395.0,249.0,15.0,30.0,3.0,1.0,12.0,4.0,57.0,55.0,11.0,17.0,24.0,23.0,8.0,16.0,11,17
279,Newcastle United,Aston Villa,1.0,1.0,49.0,51.0,12.0,15.0,3.0,6.0,4.0,4.0,5.0,5.0,2.0,2.0,10.0,10.0,0.0,0.0,9.0,9.0,9.0,5.0,9.0,7.0,3.0,8.0,392.0,411.0,282.0,312.0,30.0,29.0,8.0,3.0,11.0,10.0,63.0,64.0,23.0,29.0,20.0,16.0,10.0,11.0,13,17
154,Chelsea,Aston Villa,1.0,1.0,63.0,37.0,16.0,10.0,5.0,2.0,7.0,5.0,4.0,3.0,11.0,4.0,16.0,3.0,0.0,0.0,3.0,16.0,6.0,10.0,10.0,7.0,6.0,3.0,550.0,314.0,454.0,226.0,37.0,26.0,4.0,2.0,4.0,10.0,39.0,63.0,15.0,19.0,17.0,19.0,14.0,13.0,4,17
49,Leicester City,Aston Villa,0.0,1.0,51.0,49.0,11.0,10.0,5.0,4.0,2.0,5.0,4.0,1.0,2.0,7.0,18.0,18.0,0.0,0.0,18.0,17.0,4.0,6.0,6.0,5.0,5.0,5.0,417.0,397.0,313.0,303.0,20.0,21.0,2.0,8.0,9.0,14.0,67.0,63.0,21.0,19.0,21.0,14.0,18.0,24.0,5,17
114,Wolverhampton,Aston Villa,0.0,1.0,51.0,49.0,16.0,13.0,7.0,2.0,4.0,6.0,5.0,5.0,5.0,8.0,23.0,15.0,1.0,1.0,14.0,21.0,7.0,1.0,10.0,8.0,6.0,5.0,348.0,331.0,267.0,253.0,35.0,27.0,5.0,2.0,18.0,9.0,69.0,63.0,22.0,26.0,15.0,8.0,7.0,9.0,7,17
54,Fulham,Crystal Palace,1.0,2.0,64.0,36.0,16.0,14.0,3.0,10.0,9.0,3.0,4.0,1.0,4.0,4.0,11.0,11.0,1.0,0.0,11.0,11.0,5.0,14.0,10.0,11.0,6.0,3.0,643.0,366.0,574.0,296.0,24.0,18.0,9.0,1.0,13.0,13.0,52.0,51.0,9.0,5.0,19.0,22.0,10.0,10.0,18,14
387,Liverpool,Crystal Palace,2.0,0.0,70.0,30.0,19.0,5.0,5.0,4.0,10.0,1.0,4.0,0.0,14.0,1.0,10.0,8.0,0.0,0.0,7.0,10.0,5.0,13.0,16.0,2.0,3.0,3.0,588.0,263.0,502.0,161.0,36.0,15.0,8.0,2.0,8.0,8.0,43.0,56.0,13.0,14.0,15.0,24.0,10.0,10.0,1,14
130,West Ham,Crystal Palace,1.0,1.0,52.0,48.0,9.0,8.0,2.0,2.0,7.0,4.0,0.0,2.0,5.0,3.0,8.0,12.0,0.0,1.0,12.0,8.0,5.0,12.0,5.0,7.0,4.0,1.0,439.0,422.0,376.0,327.0,26.0,12.0,7.0,6.0,6.0,8.0,56.0,57.0,20.0,18.0,19.0,23.0,13.0,4.0,16,14
107,West Bromwich Albion,Crystal Palace,1.0,5.0,50.0,50.0,9.0,18.0,4.0,7.0,4.0,5.0,1.0,6.0,4.0,6.0,10.0,16.0,1.0,0.0,16.0,10.0,6.0,4.0,7.0,14.0,2.0,4.0,495.0,495.0,429.0,437.0,25.0,23.0,4.0,3.0,9.0,9.0,58.0,44.0,18.0,11.0,15.0,14.0,4.0,5.0,18,14
276,Tottenham,Crystal Palace,4.0,1.0,64.0,36.0,12.0,5.0,5.0,1.0,4.0,3.0,3.0,1.0,1.0,5.0,8.0,17.0,0.0,0.0,16.0,8.0,2.0,6.0,9.0,3.0,3.0,2.0,690.0,373.0,606.0,282.0,36.0,20.0,6.0,4.0,11.0,12.0,72.0,59.0,19.0,22.0,27.0,18.0,19.0,7.0,6,14
354,Sheffield United,Crystal Palace,0.0,2.0,50.0,50.0,7.0,21.0,0.0,8.0,6.0,7.0,1.0,6.0,5.0,11.0,11.0,8.0,0.0,0.0,8.0,10.0,6.0,10.0,6.0,16.0,1.0,5.0,412.0,423.0,333.0,333.0,35.0,19.0,6.0,5.0,9.0,17.0,54.0,67.0,15.0,19.0,22.0,21.0,9.0,8.0,18,14
258,Brighton,Crystal Palace,1.0,2.0,75.0,25.0,25.0,3.0,5.0,2.0,11.0,1.0,9.0,0.0,13.0,0.0,11.0,6.0,0.0,0.0,6.0,10.0,3.0,15.0,20.0,2.0,5.0,1.0,715.0,250.0,627.0,166.0,33.0,19.0,12.0,2.0,10.0,4.0,41.0,52.0,14.0,17.0,11.0,22.0,7.0,15.0,15,14
90,Burnley,Crystal Palace,1.0,0.0,46.0,54.0,10.0,15.0,4.0,5.0,3.0,5.0,3.0,5.0,4.0,7.0,13.0,9.0,0.0,0.0,8.0,13.0,11.0,5.0,6.0,7.0,4.0,8.0,409.0,459.0,297.0,351.0,32.0,15.0,2.0,7.0,4.0,13.0,44.0,62.0,18.0,24.0,14.0,12.0,10.0,4.0,10,14
196,Manchester City,Crystal Palace,4.0,0.0,72.0,28.0,13.0,2.0,6.0,0.0,3.0,1.0,4.0,1.0,11.0,1.0,9.0,8.0,0.0,0.0,6.0,8.0,2.0,5.0,7.0,1.0,6.0,1.0,747.0,288.0,675.0,208.0,29.0,14.0,7.0,1.0,7.0,4.0,45.0,39.0,14.0,12.0,18.0,15.0,8.0,8.0,2,14
308,Everton,Crystal Palace,1.0,1.0,48.0,52.0,15.0,13.0,7.0,6.0,7.0,4.0,1.0,3.0,3.0,4.0,10.0,10.0,0.0,0.0,9.0,10.0,9.0,9.0,11.0,8.0,4.0,5.0,459.0,512.0,368.0,425.0,36.0,26.0,6.0,1.0,6.0,8.0,48.0,45.0,17.0,10.0,16.0,17.0,9.0,8.0,12,14
238,Leeds United,Crystal Palace,2.0,0.0,68.0,32.0,17.0,8.0,7.0,3.0,7.0,2.0,3.0,3.0,5.0,3.0,7.0,8.0,0.0,0.0,7.0,7.0,3.0,12.0,14.0,5.0,3.0,3.0,714.0,332.0,624.0,255.0,23.0,27.0,9.0,3.0,5.0,8.0,48.0,39.0,14.0,13.0,22.0,11.0,6.0,3.0,18,14
14,Manchester United,Crystal Palace,1.0,3.0,76.0,24.0,17.0,14.0,4.0,5.0,4.0,6.0,9.0,3.0,9.0,3.0,13.0,10.0,0.0,0.0,10.0,12.0,4.0,7.0,7.0,9.0,10.0,5.0,705.0,225.0,606.0,138.0,33.0,15.0,5.0,1.0,13.0,9.0,48.0,61.0,11.0,16.0,14.0,24.0,9.0,21.0,3,14
180,Arsenal,Crystal Palace,0.0,0.0,67.0,33.0,11.0,12.0,4.0,2.0,5.0,6.0,2.0,4.0,7.0,3.0,11.0,11.0,0.0,0.0,11.0,11.0,6.0,7.0,5.0,8.0,6.0,4.0,692.0,339.0,600.0,258.0,29.0,18.0,6.0,4.0,18.0,17.0,63.0,56.0,17.0,14.0,17.0,14.0,10.0,17.0,8,14
330,Southampton,Crystal Palace,3.0,1.0,63.0,37.0,13.0,11.0,6.0,4.0,3.0,2.0,4.0,5.0,12.0,8.0,20.0,13.0,0.0,0.0,13.0,20.0,4.0,7.0,11.0,7.0,2.0,4.0,531.0,311.0,463.0,237.0,22.0,27.0,1.0,2.0,4.0,11.0,39.0,72.0,9.0,24.0,13.0,17.0,3.0,16.0,11,14
222,Newcastle United,Crystal Palace,1.0,2.0,61.0,39.0,21.0,6.0,5.0,3.0,10.0,2.0,6.0,1.0,9.0,1.0,14.0,11.0,0.0,0.0,9.0,13.0,4.0,10.0,15.0,3.0,6.0,3.0,610.0,397.0,516.0,302.0,36.0,20.0,12.0,3.0,12.0,8.0,56.0,50.0,23.0,15.0,12.0,14.0,7.0,11.0,13,14
32,Chelsea,Crystal Palace,4.0,0.0,71.0,29.0,17.0,4.0,6.0,0.0,6.0,2.0,5.0,2.0,8.0,5.0,17.0,13.0,0.0,0.0,11.0,16.0,5.0,8.0,12.0,2.0,5.0,2.0,707.0,280.0,636.0,208.0,31.0,9.0,7.0,5.0,5.0,9.0,46.0,44.0,17.0,9.0,14.0,10.0,13.0,9.0,4,14
340,Leicester City,Crystal Palace,2.0,1.0,67.0,33.0,13.0,4.0,5.0,2.0,6.0,1.0,2.0,1.0,7.0,2.0,13.0,12.0,0.0,0.0,12.0,11.0,3.0,9.0,9.0,3.0,4.0,1.0,598.0,300.0,499.0,194.0,30.0,23.0,3.0,1.0,7.0,4.0,56.0,50.0,18.0,22.0,19.0,13.0,11.0,18.0,5,14
144,Aston Villa,Crystal Palace,3.0,0.0,39.0,61.0,20.0,13.0,9.0,6.0,6.0,6.0,5.0,1.0,4.0,4.0,18.0,16.0,1.0,0.0,16.0,17.0,10.0,6.0,17.0,6.0,3.0,7.0,298.0,475.0,214.0,388.0,29.0,11.0,7.0,4.0,14.0,9.0,76.0,58.0,30.0,20.0,17.0,12.0,12.0,7.0,17,14
62,Wolverhampton,Crystal Palace,2.0,0.0,45.0,55.0,15.0,11.0,5.0,2.0,8.0,3.0,2.0,6.0,7.0,6.0,13.0,4.0,0.0,1.0,4.0,12.0,4.0,10.0,9.0,6.0,6.0,5.0,446.0,552.0,377.0,500.0,47.0,18.0,6.0,3.0,9.0,13.0,44.0,42.0,12.0,7.0,19.0,10.0,15.0,8.0,7,14
70,Fulham,West Bromwich Albion,2.0,0.0,46.0,54.0,13.0,10.0,6.0,1.0,3.0,4.0,4.0,5.0,5.0,2.0,13.0,11.0,0.0,0.0,10.0,12.0,8.0,7.0,6.0,6.0,7.0,4.0,395.0,468.0,303.0,370.0,20.0,20.0,1.0,4.0,24.0,9.0,64.0,65.0,15.0,16.0,15.0,28.0,10.0,5.0,18,18
281,Crystal Palace,West Bromwich Albion,1.0,0.0,44.0,56.0,6.0,12.0,4.0,1.0,1.0,6.0,1.0,5.0,3.0,2.0,16.0,15.0,0.0,0.0,14.0,15.0,10.0,1.0,3.0,8.0,3.0,4.0,324.0,397.0,218.0,307.0,13.0,21.0,3.0,6.0,11.0,9.0,71.0,70.0,29.0,27.0,17.0,19.0,4.0,8.0,14,18
151,Liverpool,West Bromwich Albion,1.0,1.0,78.0,22.0,17.0,5.0,2.0,3.0,11.0,1.0,4.0,1.0,7.0,3.0,8.0,5.0,0.0,0.0,4.0,8.0,4.0,15.0,8.0,3.0,9.0,2.0,787.0,213.0,695.0,121.0,22.0,17.0,11.0,3.0,8.0,3.0,49.0,39.0,26.0,13.0,11.0,15.0,4.0,13.0,1,18
181,West Ham,West Bromwich Albion,2.0,1.0,59.0,41.0,14.0,6.0,6.0,2.0,5.0,4.0,3.0,0.0,3.0,1.0,10.0,10.0,0.0,0.0,9.0,9.0,8.0,6.0,8.0,2.0,6.0,4.0,541.0,375.0,446.0,271.0,34.0,33.0,6.0,2.0,12.0,3.0,48.0,47.0,22.0,16.0,5.0,19.0,3.0,8.0,16,18
234,Tottenham,West Bromwich Albion,2.0,0.0,66.0,34.0,13.0,4.0,6.0,1.0,4.0,3.0,3.0,0.0,8.0,0.0,16.0,12.0,0.0,0.0,12.0,16.0,4.0,8.0,9.0,4.0,4.0,0.0,589.0,303.0,507.0,218.0,14.0,26.0,1.0,6.0,10.0,3.0,53.0,68.0,14.0,25.0,17.0,24.0,4.0,5.0,6,18
219,Sheffield United,West Bromwich Albion,2.0,1.0,68.0,32.0,14.0,8.0,6.0,4.0,4.0,2.0,4.0,2.0,9.0,2.0,11.0,9.0,0.0,0.0,9.0,11.0,5.0,10.0,9.0,7.0,5.0,1.0,593.0,268.0,495.0,174.0,30.0,24.0,2.0,4.0,10.0,2.0,66.0,60.0,27.0,30.0,20.0,18.0,10.0,12.0,18,18
60,Brighton,West Bromwich Albion,1.0,1.0,50.0,50.0,5.0,9.0,3.0,3.0,1.0,5.0,1.0,1.0,6.0,2.0,14.0,7.0,0.0,0.0,7.0,14.0,8.0,5.0,3.0,3.0,2.0,6.0,473.0,476.0,383.0,398.0,25.0,30.0,3.0,3.0,7.0,5.0,55.0,57.0,22.0,17.0,20.0,22.0,13.0,12.0,15,18
251,Burnley,West Bromwich Albion,0.0,0.0,62.0,38.0,6.0,10.0,1.0,3.0,4.0,6.0,1.0,1.0,5.0,5.0,16.0,10.0,0.0,1.0,9.0,15.0,11.0,11.0,4.0,3.0,2.0,7.0,433.0,267.0,325.0,160.0,21.0,25.0,6.0,0.0,5.0,6.0,53.0,65.0,22.0,28.0,17.0,16.0,5.0,10.0,10,18
124,Manchester City,West Bromwich Albion,1.0,1.0,77.0,23.0,26.0,5.0,7.0,1.0,11.0,4.0,8.0,0.0,13.0,2.0,5.0,8.0,0.0,0.0,8.0,5.0,5.0,16.0,17.0,3.0,9.0,2.0,752.0,224.0,678.0,133.0,25.0,20.0,9.0,2.0,9.0,6.0,47.0,38.0,19.0,15.0,11.0,13.0,8.0,12.0,2,18
12,Everton,West Bromwich Albion,5.0,2.0,71.0,29.0,17.0,6.0,7.0,4.0,5.0,1.0,5.0,1.0,11.0,1.0,9.0,11.0,0.0,1.0,10.0,8.0,5.0,8.0,13.0,2.0,4.0,4.0,799.0,322.0,722.0,253.0,31.0,18.0,9.0,2.0,7.0,5.0,50.0,45.0,12.0,14.0,21.0,18.0,6.0,12.0,12,18
